Date,1d return,1w return,1m return,T yield,relative volume,VIX,regime
2007-10-22,0.003798372119262039,-0.030931399738662546,0.03763174672473668,0.439300012588501,1.137776877649078,21.639999389648438,3
2007-10-23,0.008802858704579641,-0.02702656017938032,0.032687939371083496,0.44050002098083496,1.0764905144423094,20.40999984741211,3
2007-10-24,-0.0024414223711310967,-0.02119825976635037,0.030117660526486123,0.43309998512268066,1.292588265692385,20.799999237060547,3
2007-10-25,-0.0009763176926820272,-0.015683804945841873,0.02051960931575958,0.43520002365112304,1.3362517811138614,21.170000076293945,3
2007-10-26,0.013787641670760742,-0.0038669908484489923,0.03438102024380996,0.4388999938964844,1.1442181760241354,19.559999465942383,3
2007-10-29,0.0037126459428287184,0.000584401095880871,0.043564795307685644,0.43829998970031736,0.9866777129804213,19.8700008392334,3
2007-10-30,-0.006463394115263088,0.020251504067993586,0.0073958007196444076,0.43829998970031736,1.0109209463954836,21.06999969482422,3
2007-10-31,0.011991995609034412,0.02857942820235726,0.01330907516270008,0.44749999046325684,1.234619838768313,18.530000686645508,3
2007-11-01,-0.026423513500588247,-0.007337521742612596,-0.006788515946502094,0.4361000061035156,1.3065153112725822,23.209999084472656,1
2007-11-02,0.0008022082779672868,-0.004109811098954141,-0.010552171447443914,0.42909998893737794,1.3091902329476697,23.010000228881836,3
2007-11-05,-0.004954777827830159,-0.00807579257236335,-0.010252111194793523,0.43179998397827146,1.1579474902997307,24.309999465942383,3
2007-11-06,0.012049218834373487,-0.009776724427594696,0.0020168985654820393,0.435699987411499,1.1684365561579813,21.389999389648438,3
2007-11-07,-0.02936979868078282,-0.0424145583849056,-0.03264677753894152,0.43340001106262205,1.2968787646886863,26.489999771118164,1
2007-11-08,-0.0005760125159255391,-0.036740211938719125,-0.03696664784120285,0.42729997634887695,1.5902313839985986,26.15999984741211,2
2007-11-09,-0.014287019725334527,-0.06175376822303469,-0.047846765238660605,0.4224999904632568,1.3221669523836288,28.5,1
2007-11-12,-0.009988235501578235,-0.04591491235026879,-0.0697202287129719,0.42109999656677244,1.1947238907946358,31.09000015258789,1
2007-11-13,0.029092951232353004,-0.018944772048765324,-0.042401838738190256,0.425600004196167,1.1765068515527677,24.100000381469727,1
2007-11-14,-0.007069371343474851,-0.021029635105528133,-0.0448236292114671,0.42690000534057615,1.14380176262823,25.940000534057617,3
